sophiayuan(袁雪芬)(00:00:00): 当时。
小靖(00:08:38): 嗯，应该不用，是每周就是各各个线条都有，还有那个不是有我们有民兵营长嘛？

sophiayuan(袁雪芬)(00:08:40): 嗯嗯。嗯嗯。

小靖(00:08:46): 就是那个关于这个征兵的这一块的那个那个，呃，适龄的青年的名单。

sophiayuan(袁雪芬)(00:08:46): 嗯嗯嗯。

小靖(00:08:52): 一下来我们就要逐一的，就是要动员他们。啊，然后这个名单一下来，我们就把这个名单发到群里面去，大家通知的情况是什么情况啊？这个人有没有意愿要过去，就这样子，我们就把这些来填写进去嘛，也不是每个月每周都有，就是每一个线条有需要的时候再来填写。

sophiayuan(袁雪芬)(00:08:57): 嗯嗯。嗯嗯。嗯嗯。才会有哦，那这种这种上级下来的这种表你们应该一个月一个月大概会有多少呢？

小靖(00:09:14): 嗯，对呀。这个很难说，但是也比较也比较多，也挺多的，因为那些网格员经常都是在填填写各类表格真的很多，但是也不是说每每周都有。

sophiayuan(袁雪芬)(00:09:29): 哦哦。

小靖(00:09:33): 对对。

sophiayuan(袁雪芬)(00:09:33): 哦，平均一个月你觉得大概会是多少多少张？

小靖(00:09:33): And. 

sophiayuan(袁雪芬)(00:09:38): Thank you. 

小靖(00:09:38): 这好脏啊，这个很难说。

sophiayuan(袁雪芬)(00:09:39): 没有。All right. 对不起。

小靖(00:09:42): 最少的话也要两三次吧？

sophiayuan(袁雪芬)(00:09:44): 就一个月两三次，最少多的时候可能就不知道了是吗？

小靖(00:09:46): 嗯，不行。多的话的话，有可能到年底的时候就陆陆续续，每天都有了。就这样子。对对嗯。

sophiayuan(袁雪芬)(00:09:55): 那这些这些表格的收集？

小靖(00:09:55): Thank you. 嗯嗯。

sophiayuan(袁雪芬)(00:09:58): 就是是是。属于比较简，就是简单和复杂来讲就是简单的比较多呢，还是有很多复杂的比较多，我说的复杂，比如说他可能收集的信息是你们之前。嗯，可能没有收集过，或者之前收集过，但是它又需要更新的，然后量又比较大的那种摸全部人员都要摸它的这种表，这种占占比多吗？

小靖(00:10:10): 嗯嗯。嗯嗯。嗯嗯。啊，也有，就是到年底的时候不是要那个呃那个我们要。要让群众购买那个医保嘛？

sophiayuan(袁雪芬)(00:10:29): 嗯嗯嗯。

小靖(00:10:29): 医保的话就是有一个数，有一个数据，上面有个数据下来就是说啊，这个时间段还有那么多的居民没有参加医保。然后这个医保的医保下来是没有联系，没有联系方式的。

sophiayuan(袁雪芬)(00:10:37): 嗯嗯嗯。

小靖(00:10:43): 没有联系方式，所以呢，我们要一个一个。一个一个去查的话就比较麻烦，所以所以我们我们那个我们有一个工作人员，他就会把那个之前的那个之前有那个电话号码的文档，然后然后再套进去那个。

sophiayuan(袁雪芬)(00:10:57): 嗯嗯。

小靖(00:10:59): 不是有一个什么，有一个公式可以把它直接套进去的嘛，嗯，我们就弄进去，然后就就可以里面可以按照他们的名单不用去查询那个电话就可以直接的这个联系方式，可以可以可以直接的跟他联系这样子。

sophiayuan(袁雪芬)(00:10:59): 嗯嗯嗯。嗯嗯嗯。嗯嗯。哦哦哦，所以其实。

小靖(00:11:15): 嗯，他们下来了，他们下来没有电话，没有电话号码对。

sophiayuan(袁雪芬)(00:11:17): 下来的。哎呀。哦，大概就名字是吧？

小靖(00:11:20): 嗯嗯。嗯对对对嗯。

sophiayuan(袁雪芬)(00:11:23): 哦，唉，这种这种应该是说上级他可能嗯，关于某项工作，然后有一些人员的情况是需要你们重新确认的啊，这是这是一种一种任务嘛。

小靖(00:11:24): 不好。嗯嗯。

sophiayuan(袁雪芬)(00:11:34): 那其他的任务是比如说是不是下了一个空表格啊，让你们去核查摸爬这个村村里面有这种情况的人。

小靖(00:11:34): 嗯，对。

sophiayuan(袁雪芬)(00:11:43): 就是。

小靖(00:11:43): 有有也有。很多。

sophiayuan(袁雪芬)(00:11:45): 也都有是吧？嗯，这种表应该是比较多的是吗？

小靖(00:11:46): 嗯嗯。对，就是一张空表让你去填。而且是上午上午十点，然后下午三点前就要给他们。

sophiayuan(袁雪芬)(00:11:51): 嗯嗯。嗯嗯。那这种不是时间很紧吗？

小靖(00:11:59): 对，很紧，所以有时候不一定会很准。

sophiayuan(袁雪芬)(00:12:03): 哦哦。

小靖(00:12:03): 嗯，对嗯。

sophiayuan(袁雪芬)(00:12:04): 那这种这种任务比较紧的，你们怎么收集呢？也是网格员去收集是吗？

小靖(00:12:09): 对，让网格员加班。就是中午中午就不用回去啦，就直接加班啦！

sophiayuan(袁雪芬)(00:12:11): 这样。

小靖(00:12:15): 嗯，三点前嘛！

sophiayuan(袁雪芬)(00:12:15): 哦，那他们。

小靖(00:12:17): 嗯嗯。

sophiayuan(袁雪芬)(00:12:17): 对，他们就可能就是各种的去微信问或者是电话问是吗？

小靖(00:12:22): 对对对，有时候在表格里面有相关信息的话就直接的用。

sophiayuan(袁雪芬)(00:12:26): 直接用哦哦！

小靖(00:12:26): 那是。嗯，对。

sophiayuan(袁雪芬)(00:12:28): 了解了解。那诶我。

小靖(00:12:29): 嗯嗯。

sophiayuan(袁雪芬)(00:12:30): 你觉得就是因为因为咱们用腾讯文档，其实相对于可能其他地方的还是会比较简单很多了，就是呃，我们收集的这些信息除了填数据啊，也是所谓数据，就比如填姓名，手机号这些数据之外，呃，有没有需要比如说提供这种照片的这种内容呢？

小靖(00:12:38): 嗯嗯。

小靖(00:12:51): 照片的也有针对比较比较多的话，就是一些活动。

sophiayuan(袁雪芬)(00:12:52): 嗯嗯。

小靖(00:12:57): 一些活动的照片。

sophiayuan(袁雪芬)(00:12:57): 哦哦。什什么样的活动需要就是上级管的部门是需要收收集这些信息的。

小靖(00:12:59): 嗯嗯。对，还有党建的，党建这一块的，还有宣传这一块的，他们就需要照片比较多，还有那个创文创卫的，就整改前整改后的。

sophiayuan(袁雪芬)(00:13:06): 然后我。嗯嗯。啊，这这种是属于常规，可能每个季度都要还是怎样？

小靖(00:13:17): 对呀。嗯，基本上每个月都要。

sophiayuan(袁雪芬)(00:13:22): 每个月都要是吧？

小靖(00:13:22): 就是说他们。那个就是有一个就是我们那个创文创卫的话，就是经常有那个检查的嘛，检查到这里，这里有什么问题，他就拍一拍一张照片整改前的，然后我们就呃整改以后就发一张整改后的照片给他们，对。

sophiayuan(袁雪芬)(00:13:28): 嗯嗯嗯。啊啊啊。

小靖(00:13:38): 嗯嗯，对。

sophiayuan(袁雪芬)(00:13:39): 不是。噢，那这种这种你们是也是在表格里填好吗？还是怎样给他？

小靖(00:13:45): 他们就发一张表格给我们，就是说是。

sophiayuan(袁雪芬)(00:13:48): 然后你们在照片也放在表格里是吧？

小靖(00:13:51): 嗯，就直接添加进去，把整改后的照片。

sophiayuan(袁雪芬)(00:13:54): 哦哦。

小靖(00:13:56): 嗯嗯。

sophiayuan(袁雪芬)(00:13:56): 好的，唉，那你们现在比如说呃网格员去收收集信息，就是你觉得网格员他最最困难的问题是什么呢？

小靖(00:14:05): 最困难的问题的话就是说有一些信息就是说啊，外出人口。我们查不到他的联系方式的。

sophiayuan(袁雪芬)(00:14:11): 就是。但是这个故事。嗯嗯嗯。

小靖(00:14:14): 他最最痛苦的事情对。呵呵，对。

sophiayuan(袁雪芬)(00:14:20): 就是就是他找不到人嘛，然后也可能找到人，人家也不提供给他是吧？

小靖(00:14:25): 呃对对。

sophiayuan(袁雪芬)(00:14:26): 那诶，遇到这种情况怎么办呢？一般。

小靖(00:14:29): 嗯，这样的话我们有时候会到派出所去去查他们的。家属的电话？

sophiayuan(袁雪芬)(00:14:36): 哦，然后跟家属打电话是吧？

小靖(00:14:36): 嗯嗯。就是跟他的亲戚就说这个人可能跟这个人是亲戚，然后我们就直接试着打过去，但真的有时候会有认识的。

sophiayuan(袁雪芬)(00:14:40): 哦哦。嗯，对，我理解就是。但是。嗯，这种情况多嘛，感觉比较。应该比较少的感觉。呵呵。

小靖(00:14:52): 对，是比较少，但是我们没办法的时候就只能用这种方法，因为到派出所去查询的话也是手续比较麻烦。

sophiayuan(袁雪芬)(00:14:54): 嗯嗯。嗯嗯。嗯嗯，唉，那你们存在这种，比如说需要这种入户啊，这种，嗯，这种这种调查这种工作，呃，咱们网格员会觉得。

小靖(00:15:00): 对啊。对啊。嗯嗯。

sophiayuan(袁雪芬)(00:15:12): 费时费力嘛，就是因为每个村的网格员其实也是有限的嘛，咱们村还是比较。比较大的一个呃，咱们社区的已经还是一个比较大的一个社区。我不知道每个网格员他要负责多少户啊？

小靖(00:15:22): And we. 

sophiayuan(袁雪芬)(00:15:25): Yep. 

小靖(00:15:25): 我们这边的话也不是很多。不是很多，我们这边的话属于那个比较中中等一点的社区，就是这不是人口不是很多，我们常住人口少，因为我们是属于那个老旧居民区。

sophiayuan(袁雪芬)(00:15:32):  Don't 啊。然后。

小靖(00:15:39): 我们的常住人口只有3000多。

sophiayuan(袁雪芬)(00:15:39): 嗯嗯嗯。

小靖(00:15:42): 嗯嗯。

sophiayuan(袁雪芬)(00:15:42): 嗯3000，那每个网格员负责多少户呢？

小靖(00:15:43): 嗯嗯。啊，大概一两百户嗯。

sophiayuan(袁雪芬)(00:15:48): 一两百那也很多了呀！

小靖(00:15:51): 也不是很多了，有其他社区的话啊，一个社区有一万多人，2万多人的更多。

sophiayuan(袁雪芬)(00:15:52): 呵呵。哦哦哦。

小靖(00:15:58): 嗯，对了。

sophiayuan(袁雪芬)(00:15:58): 呵呵。

小靖(00:15:59): 嗯嗯。

sophiayuan(袁雪芬)(00:15:59): 所以唉，所以我们呃社区这边会有嗯，其他的那种政务系统去统管数据吗？

小靖(00:16:07): 那我们我们现在汕尾这边有一个民情地图的。名寝地图。

sophiayuan(袁雪芬)(00:16:11): 那个是是是做什么的呢？

小靖(00:16:14): 啊，明清地图的话就是说把那些人员的信息全部都。啊登记进去录进去。

sophiayuan(袁雪芬)(00:16:20): 嗯嗯嗯。

小靖(00:16:20): 然后把一些特殊的情况，比如那个低保户啊，残疾人员啊，特殊的那个刑满释放人员，这些人员就是网格员在走访的时候就在这个啊，工具里面好像是钉钉。

sophiayuan(袁雪芬)(00:16:24): 嗯嗯。嗯嗯。嗯嗯。

小靖(00:16:35): 在钉钉里面把这些人员上报的上啊，就是走访的时候到他家里。啊，去走访的时候那个照片拍上去。他，然后就直接上传说到他他的家里去走访，然后没有发现什么异样什么的，然后困难群众的话就是说他近期的生活状况啊，啊，还有这个身体状况怎么样怎么样，这样子，我这么一个工具是我们政府的这一块的。

sophiayuan(袁雪芬)(00:16:47): 嗯嗯。嗯嗯。嗯，好。哦哦。这个是哪个？哪个政府的工具啊？

小靖(00:17:04): 嗯，是我们汕尾汕尾市这边的。

sophiayuan(袁雪芬)(00:17:07): 嗯，它就没有主管部门，不是不是民政或者是这些。

小靖(00:17:07): 嗯嗯。嗯，城管以前是以前是政法委，现在是转为那个社会工作部在里在嗯，在协调这个事情，嗯。

sophiayuan(袁雪芬)(00:17:17): 噢，唉，那刚刚提到这种啊，属于特殊人员嘛，对吧，那特殊人员的这种信息，你们是不是？

小靖(00:17:22): 嗯嗯。

sophiayuan(袁雪芬)(00:17:25): 上级管理部门其实都不需要找你们收集了，你们直接因为你们每可能每个月都要走访调研一次嘛，然后他们直接从这个系统看就行了是吗？

小靖(00:17:26): 嗯嗯。

sophiayuan(袁雪芬)(00:17:34): 还会再需要找你们要数据吗？

小靖(00:17:34): 嗯嗯，对。嗯，还要找我们要数据的，这个只是。

sophiayuan(袁雪芬)(00:17:39): 为为什么。

小靖(00:17:40): 嗯，因为他那个数据就是说他那个平台还不太成熟，我们可以这么理解，就是说，呃他我我两年前录制进去的那个信息是低保户有多少户？

sophiayuan(袁雪芬)(00:17:41): 嗯嗯。

小靖(00:17:53): 然后我现在要更新的话，它是要通过什么啊，通过哪个部门，哪个部门啊，再去更改，但是一直都更改不了，只能把那个数据停留在之前。

sophiayuan(袁雪芬)(00:17:53): 嗯嗯。哦哦哦。

小靖(00:18:03): 所以他那个数据不准了，所以他一要什么问题又要找我们要。

sophiayuan(袁雪芬)(00:18:04): 哦哦。

小靖(00:18:08): 这样子。

sophiayuan(袁雪芬)(00:18:09): 所以其实那个系统你对你们来讲是一个负担呢？还是一个？

小靖(00:18:14): 对对对。可以说是负担没什么用。

sophiayuan(袁雪芬)(00:18:19): 就是就是既不能让上级管理部门去从这里面调数据，反而你们还要需要，需要可能。

小靖(00:18:22): 嗯嗯。

sophiayuan(袁雪芬)(00:18:25): 可能需要不同的地方去录数据，多了一个录数据的地方是吧？

小靖(00:18:29): 对对，还有就是说每一个月要一次。每每个月要遍访一次，就是说每个月都要走访上传到这个数据里面去。

sophiayuan(袁雪芬)(00:18:33): 嗯嗯。嗯嗯嗯。

小靖(00:18:40): 然后他们缺少什么数据，要什么数据还是要，还是要我们用手动的？啊，去去填写去报表。

sophiayuan(袁雪芬)(00:18:45): 嗯嗯。

小靖(00:18:47): 这样子。

sophiayuan(袁雪芬)(00:18:47): 唉，那那上级管理部门还会需要找你们要什么样的数据呢？就关于这一部分。特殊人群的？

小靖(00:18:54): 嗯嗯。特殊人群的话，有时候会啊，要他们的那个银行账户啊什么的。

sophiayuan(袁雪芬)(00:18:56): 真的。

小靖(00:19:00): 有更改啊什么的？

sophiayuan(袁雪芬)(00:19:01): 嗯嗯。

小靖(00:19:02): 呃，就是各种各类的很很多样。嗯，就是有时候还要入户去确认这些个成员，他们的生活状况啊，有没有提高啊，还有什么有什么变动啊，什么的，要经常要去走访的。

sophiayuan(袁雪芬)(00:19:06): 哦哦。

小靖(00:19:16): 嗯，行。

sophiayuan(袁雪芬)(00:19:16): 噢，所所以其实所以其实那个平台的数据，其他的部门认为也认为不不准确嘛，所以也也用不了，对吧？

小靖(00:19:18): 嗯嗯。哎，用不了不准吧！

sophiayuan(袁雪芬)(00:19:27): 好吧，呵呵。

小靖(00:19:29): 不不准。

sophiayuan(袁雪芬)(00:19:29): 那行吧。

小靖(00:19:30): 嗯哼哼。

sophiayuan(袁雪芬)(00:19:30): 行行行。

小靖(00:19:32): 哼哼哼。

sophiayuan(袁雪芬)(00:19:33): 哎，其实其实。也确实是个问题，这个。

小靖(00:19:35): 嗯，好。对啊，就是就是给领导看的那个数据给领导看的。

sophiayuan(袁雪芬)(00:19:37): 嗯哼。嗯嗯。

小靖(00:19:42): 呵呵。

sophiayuan(袁雪芬)(00:19:42): 啊，行啊，这个是不是比较麻烦？唉，那你觉得我们我们的这个悦之美平台上现在的这个数据对你们来讲是有用的吗？

小靖(00:19:43): Thank you. 对吗。啊，我觉得非常有用啊，因为大家都是真的用手机认证的嘛！全部都是。

sophiayuan(袁雪芬)(00:19:57): 嗯嗯嗯。

小靖(00:19:58): 对吧嗯他。

sophiayuan(袁雪芬)(00:19:58): 嗯嗯。就不是你们可能录的那种数据是吧？

小靖(00:20:00): 什么意思。嗯，对。

sophiayuan(袁雪芬)(00:20:04): 嗯诶。

小靖(00:20:04): 唉，他们录的数据要更改的话，需要那一级批需要那一级有什么成像什么的，你就申请来申请去，一直都是那个样。

sophiayuan(袁雪芬)(00:20:11): 嗯嗯。

小靖(00:20:13): 呃，都是没有改变的。

sophiayuan(袁雪芬)(00:20:14): 嗯嗯。

小靖(00:20:15): 嗯嗯。我们222年开始还是21年开始那个明星地图的数据到现在还是那个数据？

sophiayuan(袁雪芬)(00:20:16): 好的。

小靖(00:20:22): 呃，就是不动的，没有更改的。

sophiayuan(袁雪芬)(00:20:22): 哈哈。不动的哦，因为因为我们其实呃也在考虑一个事情，就是刚刚所说到的那种特殊。

小靖(00:20:25): 对呀嗯。

sophiayuan(袁雪芬)(00:20:32): 困难人员嗯，是不是有必要在我们平台上，嗯，也做一个类似的一个档案系统，当然这个档案系统必须是有用的哈，就有用，就是说比如说未来我们现在呃。

小靖(00:20:36): 嗯嗯。嗯，对。

sophiayuan(袁雪芬)(00:20:45): 我们现在那个福利社，呃，它里面能够申请的项目，未来可能会有各种的公益组织的这个项目，比如说现在，呃，某个公益组织，它有针对老人的特殊的补助啊，那我就可以用这个数据去申请嘛，呃，我们是打算正在打算做这样的一个事情。

小靖(00:20:54): 真的。嗯嗯。嗯嗯。

sophiayuan(袁雪芬)(00:21:05): 嗯，所以其实也会想要去建一个就是类似的，你刚刚提到的那种。呃，数据的管理系统对对对。

小靖(00:21:12): 这个。嗯嗯。嗯嗯。

sophiayuan(袁雪芬)(00:21:14): 但我们更更更想要的是，呃，真实的数据以及那个数据是一个变动的，而不是一个死的数据。

小靖(00:21:21): 对对对，没有变动的，然后然后变动的话需要什么权限，需要什么权限，有一些我们是看不到的，我们这边看不到一些事情的。

sophiayuan(袁雪芬)(00:21:26): 对对对对。

小靖(00:21:30): 所以说我们我们在用的叶志美那个平台哦，不是有那个居民说事平台嘛？

sophiayuan(袁雪芬)(00:21:30): 哦哦哦。

小靖(00:21:36): 金民说是平台群众一反映问题，我的手机马上就可以收到相应的信息，我们马上就可以去处理，但是民情地图那一块的话，群众反映问题会转到我们镇里面去。

sophiayuan(袁雪芬)(00:21:36): 嗯嗯嗯。嗯嗯嗯。

小靖(00:21:49): 转到这里面去，然后这个人的认证信息这里面是不知道他的身份的。

sophiayuan(袁雪芬)(00:21:49): 哦哦哦。听到了。哦哦哦，那。

小靖(00:21:54): 他不知道他是哪个社区的。嗯，对，就是说。

sophiayuan(袁雪芬)(00:21:57): 嗯嗯嗯。确实比较麻烦。

小靖(00:21:59): 对他保密，然后他定的位置呢也不准。

