杨胜青(00:00:00): 一老一小的这种残疾的。
iriswong(王钰)(00:16:47): 这这是花的精力比较多的是吧？填表可能时间都不是很多。就整天打电话去追踪这个信息确认信息，这个可能花时间更多。

杨胜青(00:16:52): 对对。

iriswong(王钰)(00:16:57): 会不会。

杨胜青(00:16:57): 对对，因为我们问回来我们才能有信息填那个表，否则你没办法填这个表。

iriswong(王钰)(00:17:03): 嗯，就其实填这个表可能还比较简单是吧，这个表填起来比较简单。

杨胜青(00:17:06): 对填表而已填表我们现在都是建了基础信息嘛，比如说我们现在已经用在线的一些表格。就直接基础信息能够做进去了，那后续的就是他这些变更的信息就动态的那一块。就很头痛。

iriswong(王钰)(00:17:20): 嗯嗯嗯。啊，就是采集的问题比较难，而且这些东西都是要一个一对一的，没有办法说通过什么地方啊，我知道，唉，那在线表格您这边用的是哪个产品？

杨胜青(00:17:24): 对对对对。对对。对对对对对！目前目前用 WPS 的。

iriswong(王钰)(00:17:36): 哦，金山的 WPS？

杨胜青(00:17:38): 北京三元。

iriswong(王钰)(00:17:39): 了解了解，唉，那除了脱贫攻坚呢这些，唉，这个表啊在提，就是他在提交的时候是用什么方式提交的呀？

杨胜青(00:17:50): 我们目前现在因为我们是自己建的这个表格嘛，如果是系统，它是到乡镇一级嘛，我们村级它是没有办法开通到这边的这个，呃，我。呃，工作流里面他没办法做到这边，因为他涉及的一个权限的问题。

iriswong(王钰)(00:18:04): 嗯嗯嗯。

杨胜青(00:18:05): 啊，所以就是靠我们自己用这个电子电子表格。做完的时候按他们的格式。啊，给到他们。

iriswong(王钰)(00:18:13): 哦，是怎么给啊，是在微信里发给他们？

杨胜青(00:18:18): 因涉密的基本上用 U 盘拷。就是不是涉密的，我们加密以后的时候就是用 qq 或者是微信发给他们。

iriswong(王钰)(00:18:26): 哦，哪些属于涉密啊？

杨胜青(00:18:28): 涉密的话，基本上就像脱贫库这脱贫人口这些基础，一些信息啊，有带身份证的啊，还有一些收入啊，这一块的东西可能就涉密就。就用这个这个？啊，又还给他们？

iriswong(王钰)(00:18:41): 就你们得自己。就是去一趟。镇上交表。

杨胜青(00:18:44): 对对，要考考过去，对考过去。

iriswong(王钰)(00:18:46): 拿个 UU 盘去拷拷表是吧哦！

杨胜青(00:18:49): 对不对，因为他们这边的话，目前这个政府部门他没有独立的类似于 ERP 这种或者是呃。

iriswong(王钰)(00:18:50): 了解。

杨胜青(00:18:56):  Workflow 的这一块的这种。这种。啊，全套的这种系统。

iriswong(王钰)(00:19:00): 哇，杨主任你好时髦哦，你都知道 work flow 你好厉害哟，唉，我就很好奇了，那在线表格你们就不怕泄密，就里面也登记他们的这个身份证啊什么的。

杨胜青(00:19:02): 啊啊。呵呵呵。因为我们在内部，我们只用局域网。

iriswong(王钰)(00:19:17): 哦，用局域网？好好好。这个这个了解了，唉，那除了脱贫攻坚表噢，占了百分之七八十，那剩下那那那一小部分是什么样的表啊？

杨胜青(00:19:29): 剩下一部分的话，还有一部分最麻烦的是什么呢？就是。

iriswong(王钰)(00:19:33): 嗯嗯。

杨胜青(00:19:34): 安全这一块？

iriswong(王钰)(00:19:36): 安全帽。

杨胜青(00:19:37): 对吧，因为安全的时候一个是。未成年的这个？呃，保护这一块嘛，你要经常要去这个学生一类的要去。走访你要去填报，有没有去学校？有没有私学？

iriswong(王钰)(00:19:50): 哦哦。

杨胜青(00:19:51): 有没有辍学？

iriswong(王钰)(00:19:53): 学校校。噢，那听起来其实还是其实花了很多时间，就是挨个去去把这个信息给落实了是吧？

杨胜青(00:19:54): 对，还有一个呢？对对对对，还有一个就是我们要每一天的时候，他不是要去检查做这个呃，消防安全啦，还有是不是相关的一些安全啦，你要去入户去做这个？

iriswong(王钰)(00:20:10): 哦，消防巡查。

杨胜青(00:20:12): 对消防巡查这一块。对吧。

iriswong(王钰)(00:20:14): 嗯嗯嗯。

杨胜青(00:20:15): 哦，因为你要入库去，你才知道他那个？呃电器啊，电线啊，这什么东西有没有做这个有有没有隐患啦？那这些他们我们就自己还有这个这个巡查表。啊，这一类的行程表。

iriswong(王钰)(00:20:28): 嗯嗯嗯。

杨胜青(00:20:29): 那这一类的行程表目前的话你基本上他是每一家你都得填了。平台是要百分百要检查。哦，附附件嘛，我们说的。

iriswong(王钰)(00:20:38): 每天都要啊！

杨胜青(00:20:39): 我们复活节一个月。

iriswong(王钰)(00:20:40): 每天都要吗哦，一个月？

杨胜青(00:20:42): 每个月。

iriswong(王钰)(00:20:43): 每个月嗯，每个月巡查。

杨胜青(00:20:44): 对，每个月你要检查一遍，那我现在这边我是1000。其实我社区不仅只是1800户。我还有两个小区，因为它是不是一般小区，所以我那那边的那两个小区，我的表单和其他东西相对都会少。对吧，因为有一部分的时候他那个，但另外一个这个做的是木制房的，安全的东西就表格就比较多。因为我还有一个一个商住小区。哦，还有一个就是他们这边也是安置区吧，但安置区他是一个这边就近的一个地方搬迁过来的一个安置点。啊连片的一个木房子，再加上卧龙小区，我们是三个小区，卧龙社区。

iriswong(王钰)(00:21:22): 嗯嗯嗯。嗯嗯。

杨胜青(00:21:27): 所以我要全部加起来，那个三座小区再做下来的话，我这边整体算下来基本上可能达到多少。

iriswong(王钰)(00:21:27): 嗯嗯嗯。

杨胜青(00:21:34): 那里是1000多户？接近差不多3000户了，2000多户3000户。

iriswong(王钰)(00:21:39): 哦哦。

杨胜青(00:21:40): 也就是我这边如果人口全部加起来，可能就要接近上万人。

iriswong(王钰)(00:21:40): 然后这个呃。啊，这么多。嗯嗯。

杨胜青(00:21:47): 对对。网格员。

iriswong(王钰)(00:21:49): 那呃，这个这个巡查就是每个月就村委就是来回安排，还是说什么网格员呐，什么之类的这些。网格员哦。

杨胜青(00:21:58): 网格员。对，要拿表格拿去做巡查。

iriswong(王钰)(00:21:59): 那他。哦诶，这表格是谁？是哪里给你们提的要求？

杨胜青(00:22:07): 嗯，留街道。

iriswong(王钰)(00:22:09): 街道街道会给你们提这个要求，然后你们就拿着这个表去挨户去检查，然后是手填吗？

杨胜青(00:22:19): 呃，去检查有没有问题，有问题就把那个对应的问题填上去，那填上去的时候不该报。就是需要整改的写整改通知单。对吧，没有写整改写 ok 的就没有事，没有事，但是你要有这个凭证要做来做归档，你要上交给这个这个街道，避免有事情的时候怎么来追溯？

iriswong(王钰)(00:22:39): 嗯嗯嗯。

杨胜青(00:22:39): 对对。

iriswong(王钰)(00:22:40): 就是这个表到就是表的格式是接到统一下发的，然后你们每次巡查就打印出来给网格员去入户检查。

杨胜青(00:22:49): 对的。

iriswong(王钰)(00:22:50): 然后如果没事呢，就是叫做就反正就签到一下，可能要要入户的那个人也签个字是吧？就是入户的那个呃，说你你来了，然后他签个字啊，啊，如果有事呢，他就另外要出一个叫整改的这种单子给他。

杨胜青(00:22:50): 对对。对，就把它签好，把表给我们填完。对对对。对，不准签个字。对，整改单给他，让他去做整改。

iriswong(王钰)(00:23:08): 哦哦。就一这个单子呢就给他，然后同时你们也留留一张，然后到时。

杨胜青(00:23:13): 对，我们也要留底，因为我们要去复核嘛，复核他有没有整改？

iriswong(王钰)(00:23:17): 哦，然后。

杨胜青(00:23:17): 整改完成以后才能做结案。哼哼。

iriswong(王钰)(00:23:22): 这每个月都搞一次，然后就有一堆这些纸质的表交回给街道是吧？

杨胜青(00:23:27): 对对，都要交，要存档。

iriswong(王钰)(00:23:30): 都是纸的纸纸质版的。

杨胜青(00:23:32): 纸质的。

iriswong(王钰)(00:23:33): 哦，好这。这呃一个消防巡查，那未成年保护的这一块也是一样吗？也是，就像刚才那种流程。有有一个表？

杨胜青(00:23:43): 未成年保护相对说我们只是针对未成年嘛，那未成年我们有几个信息返回来，一个是学学校返回来，那一个呢，是我们是自己这边民政的对应，你要对未成年和这个。一老一小啊，测试人员嘛，他都是有。

杨胜青(00:23:58): 独立的这个表格了嘛，你要？

iriswong(王钰)(00:24:00): 嗯嗯。

杨胜青(00:24:01): 每个月要去看他们确实有没有，那如果学校返回来的，那我们就按照学校的这个来做追踪了。

