恒888(00:00:00): 上面操作还是这个上面操作的？
恒888(00:15:08): 嗯嗯。那些就是一般常用的我们都会，比如说就是。

maixiao(肖迈)(00:15:14): 传的数据或者说。

恒888(00:15:14): 呃，因为懒一点的我们我们。

maixiao(肖迈)(00:15:16): 我们啊。

恒888(00:15:17): 嗯，我们不太不太会的话，我觉得可以，就是比如说爬虫那种。

maixiao(肖迈)(00:15:17): 领取的数据其实。呃呃，那个汇总型的一些数据？

恒888(00:15:23): 爬虫的它因为它它很多很多那个软嗯表格它都是要会员的。

maixiao(肖迈)(00:15:23): 对呀。可能的要求就是要做那种管理，就是那个券需要跟受益受益人等来更新，对。

恒888(00:15:28): 要会员才可以操作。或者说就是。就是还要有个公司嘛，比较复杂一点的，我们我们就不会了。

maixiao(肖迈)(00:15:32): 而不是你把它说它是一个。嗯，了解，所以所以所以这种这种情况您刚说的是可能需要会员。

恒888(00:15:43): 对 wps 会啊，会员他就。它还有很多功能。功能就就可以开放？

maixiao(肖迈)(00:15:50): 嗯，所以说您一般也会开个会员。

恒888(00:15:53): 我暂时没有，还没拍。

maixiao(肖迈)(00:15:55): 啊，但是但是您其实唉！

恒888(00:15:56): 一般我就是最基本的，最基本的，我们身上的那个。

maixiao(肖迈)(00:15:58): 做一天。记录的。

恒888(00:16:01): 呃，就比较适用了，懒一点的嘛，就是可能就多花一点时间吧，然后也可以弄好。

maixiao(肖迈)(00:16:02): 嗯嗯。噢，了解就可能会有一些，呃，那您一般会用公式吗？或者是这种计算啊，这种相关的。

恒888(00:16:14): 嗯，就是那个函数公式就是一般求和的那种啊。

maixiao(肖迈)(00:16:16): 对对对。

恒888(00:16:18): 还有就是那种求平均值的那些简单的会，但是就是涉及到，比如说有点有点有点饺子的那种饺子的那种公式哈，我们就有点难了，比如说你要是否？

maixiao(肖迈)(00:16:21): 哦哦。嗯嗯。

恒888(00:16:29): 确定他这个？嗯，因为我对这方面比较了解一点嘛，我可以跟你讲一下。就是比如说你它它这个公式，你那种，假如那种就是那种。

maixiao(肖迈)(00:16:41): 哦哦。

恒888(00:16:42): 我觉得就是比较难一点啦！

maixiao(肖迈)(00:16:43): 哦，要判断一下的那种。

恒888(00:16:43): 这种在网上也可以学，但是也基本上用的比较少哈，用的比较少，但是就没有怎么学。

maixiao(肖迈)(00:16:48): 嗯嗯嗯。了解其实就是您现在目前展示呃，就是可能有一些啊，复制粘贴啊，筛选查找啊，然后函数啊，这些都已经可以解决大部分的工作了，是这么可以理解吗？这么理解可以吗？嗯。

恒888(00:16:52): 嗯嗯。

maixiao(肖迈)(00:17:04): 好的，那呃，平均来看的话，就比如说您拿到原始的信息到整理好一份表格大概需要多久呀？你一个数组就单单独一个。

恒888(00:17:14): 嗯，一般看就是那个工作量也有的，有的话就是半个小时，有的话你数据量大的话也会花费很多时间的。

maixiao(肖迈)(00:17:17): 去处理。嗯唉。

恒888(00:17:23): 有的时候一个周两个周都可能。

maixiao(肖迈)(00:17:26): 噢，这种这种这种数据量，呃，比如说数据量大的时候是，比如说哪些表格，它可能需要这么久时间？

恒888(00:17:33): 因为他我们比如说我们一个村的人口哈，他就是几千人的那种人口。

maixiao(肖迈)(00:17:35): 对，长穿21嗯！

恒888(00:17:38): 你要核对它，你肯定要花很多时间，我们要收集这些表，还要做做那个电子表。

maixiao(肖迈)(00:17:41): 对嗯嗯。嗯，了解，就比如说是收集村大家大概几千口人的这个呃一些基本的信息。核实一些信息。ok 那这种比如说您在呃处理这种大规模的信息收集的时候就要呃，一两个星期了，但是但是那收集起来这种大规模的大概要多久啊？嗯，然后就是受阻了，受阻了。

恒888(00:18:06): 嗯，有的时候我们也要。

maixiao(肖迈)(00:18:07): 就是我说的那句。

恒888(00:18:08): 就是也要实地去走访嘛，走访了，然后我们才可以填那个表。

maixiao(肖迈)(00:18:10): 对啊，走访。

恒888(00:18:12): 那个是最基本的填报，填报之后我们电子档。一般一个一个队的话，一个基本小组至少也要一个小时，三个小时才才可以处理，有的。

maixiao(肖迈)(00:18:21): 噢，了解，那他走访他大概会花多久啊，就是在您处理之前处理数据之前，他肯定项目下去。

恒888(00:18:23): 嗯嗯。

恒888(00:18:26): 你走访的话就就很复杂了，走访的话，你因为每年每户要去走访的话，你一个队的话，你要一天才能够走访完呀。

maixiao(肖迈)(00:18:29): 唉，对，就刚才接触的观众就说到，嗯噢，一天大概大概就走访完了一天，可能长时间的一直在走访。

恒888(00:18:37): 那么。对呀，你看你要看是什么工作，有的是必须到他家里面的，去去的话你就要每家每户去去那个走访，还有比如说你每家每户去走访。

maixiao(肖迈)(00:18:45): 可以。现在你考虑一下就是。去避免了解。

恒888(00:18:51): 那你问的问题比较比较繁琐一点，那肯定要耽搁时间多一点嘛。

maixiao(肖迈)(00:18:51): 首先我我觉得有有个困难，就是首先我们去找数据的时候，嗯，那大概。

恒888(00:18:55): 有的时候可以电话。

maixiao(肖迈)(00:18:57): 哦，有时候可以电话。

恒888(00:18:59): 嗯，他确实没有，在家的话一般就会用电话来联系，如果在家的话就必须要到入户入户这样子去走访。

maixiao(肖迈)(00:19:00): 那这种。噢，唉，那这种走访必须要入户的话是什么情况呢？就是大家也不知道有没有对啊，其实都存在一些困难。

恒888(00:19:07): 嗯嗯。嗯，我们村上的工作一般就是涉及到一些，比如说安全的呀！还有就是一些嗯。

maixiao(肖迈)(00:19:18): 坚强祖国。

恒888(00:19:19): 就是上面有一些突发的一些工作嘛，也也会有一些走访。

maixiao(肖迈)(00:19:20): 我们还。嗯，了解嗯，那那这种走，唉，我想问一下一组大概有多少人呢？

恒888(00:19:23): 对吧。我们村一个组的话有五六百人。

maixiao(肖迈)(00:19:30): 一个项目的哇，这么多。

恒888(00:19:34): 呃，我们村是我们镇上最大最多的一个人，人数最多最多的。有有有。

maixiao(肖迈)(00:19:39): 对，那其实。

恒888(00:19:40): 有5000多人。

maixiao(肖迈)(00:19:41): 对，不管是在哇，不管是在这个处理表格还是说在走访，其实都还挺多人的，分量就是那个工作量挺大的，嗯，了解那。

恒888(00:19:48): 嗯嗯。对，所以说。人数少一点，还好一点，我们村。因为他特别逗。

maixiao(肖迈)(00:19:55): 呃对对，那我想问一下，可能在整理的过程中就是您会说检查一下这个数据的准确性或者是怎么样，这种检查的工作会不会？

恒888(00:19:56): 我不知道。拜拜。我也想唱歌。

maixiao(肖迈)(00:20:08): 双边在创建项目的时候，可能你们这一款直接先创建，然后我们这边创建活动的时候你们这款。

恒888(00:20:10): 对，就是这个，这个也涉及到一些，比如说就要也要套，引用一些公式。才能够方便。

maixiao(肖迈)(00:20:18): 对，怎么这里可以举个例子吗？

恒888(00:20:21): 比如说，比如说我登记这个人吧，你你重复登记了你你那个，比如说他身份证号码，你可以识别。

maixiao(肖迈)(00:20:23): 不那个发起那个权益啊？嗯嗯嗯。

恒888(00:20:29): 那你重复登记了，有的时候你你就不清楚呀，你你就。

maixiao(肖迈)(00:20:33): 嗯嗯，看谁先谁后吧！

恒888(00:20:33): 因为你几天的话，你也爬起来比较麻烦一点。

maixiao(肖迈)(00:20:37): 噢，了解了解有道理，这个确实是一个很很有意思的点，就是可能会比如说人或数据一上来，它可能会出现重复的这个登记，然后表格可能会出现一些比较。

恒888(00:20:38): 就是嗯。

恒888(00:20:49): 对哈，比如说统计统计上面，比如说以这个马上我们要收那个医疗保险为准吧哈！你现在收的这个营养保健的标准，它它这个标准，它每个它有的特殊人群，它标准也是不一样的。然后你交的那个费用的，比如说你那个统计怎样才能够统计出他每个队他的那个完成的数量？

maixiao(肖迈)(00:21:02): 嗯嗯。

恒888(00:21:10): 我们我们就比如说我们交了哈，它会在那个系统里面出现。那么导出这个表格，你怎样子统计出来？这也是也是一个？也是一个，就是如果你不会操作的话，也会浪费很多时间。

maixiao(肖迈)(00:21:19): 哦哦。206。噢，唉，这这个场景能不能跟我再具体讲一讲，因为我可能不是很清楚，然后能不能再跟我解释的就是再细节一点，然后。

恒888(00:21:33): 嗯，比如说就是我们现在收的那个医疗保险嘛，每年都会征收。

maixiao(肖迈)(00:21:36): 呃，医疗保险嗯！

恒888(00:21:38): 对，他比如说有的人，有的一般人群哈，以我们2025年就是这四点政策的为准，就是400块钱一个人，一般人群哈就是。

maixiao(肖迈)(00:21:42): 嗯嗯嗯。嗯，因为我们有这样的动就是。

恒888(00:21:48): 平安居民医疗保险。那比如说有的特殊人群，比如说低保的，他就交的是25%，就是100块钱一个人。

maixiao(肖迈)(00:21:50): 嗯呃，回组织请把那个嗯活动的嗯。

恒888(00:21:56): 那比如说有的是他。

maixiao(肖迈)(00:21:57): 我们的村庄它是展示在的这个后面，它这个 E 式的那个页面之后。

恒888(00:21:58): 享受的独生子女的父母那种就是交一半，他就50%就是交200。比如说有的他就是不不用交的。比如说那个五保户就是那种特困人员，他就是不用交的。

maixiao(肖迈)(00:22:08): 那这个这里面其实。噢，我觉得噢噢，那个传数据的那一个时机也在于说我们公益组织在配置完这个券的时候再再。

恒888(00:22:12): 它会系统里面直接生成导，比如说政府一到11转入这个账户了，它就会自动的就会它有个医保系统，它会导出来，它导出来这个系统只会有有姓名。

maixiao(肖迈)(00:22:23): 公益的嗯嗯，把那个对应的一个信息嗯，并配置在这个申请单上，然后结合的项目活动的信息及推送，这个就是他确认这个使用哪个券的噢，了解了解你解释的非常清楚，那个这个确实我觉得可以可以好好的考虑一下这个。

恒888(00:22:24): 姓名，身份证号码，然后交款的日期，然后那个金额。那么你怎样子能够统计出他每个队？每个队，然后你每个队他他就没跟你说这个人是哪个队的，他不会跟你说，然后你怎样子？识别出来他是哪个队的，然后你还统计出他总共总共加了多少人？这样的。

maixiao(肖迈)(00:22:51): 确实，这个感觉很很复杂，因为它可能导出来的信息是不全的，需要人工再进行一遍筛选和比对。

恒888(00:23:00): 这样子就是我们处理好这个表之后啊，处理了每个队新增了多少人，然后嗯也也给每个队分分别的标了色之后呢，那你每个队你清清楚家底，然后你知道你已经交了多少人，然后还未交的哪些人，然后就能够体现出来，能够给我们的户籍，户籍本身那个表格嘛，就能够。

maixiao(肖迈)(00:23:02): 在这个时机上。好吧。填了我们就。进行这个数据的转移以及。做了推人往右盘就做了去。没问题。呃的。

恒888(00:23:23): 就说能够及时的反馈给队长，然后他也能够针对性的去再再催收。

maixiao(肖迈)(00:23:24): 看什么。嗯，好的噢，非常清楚。唉，那我有个问题啊，就比如说，呃，可能在工作中可能需要很多工作，都是需要这个基础信息的，可能这个工作就是信息是以户为主的，那，呃，我想问一下是不是村上也有这样维护一个非常大的这种以每组为单位或者是整个村五六千人的一个基础信息的表格。

