maixiao(肖迈)(00:01:06): 曾书记你好，唉，你好，郑书记好，我们来打扰您了，我们三个都在一起，对对对！
曾凡江(00:06:09): 基本上是不是每天反正？隔天都会爆的。隔天报。

maixiao(肖迈)(00:06:14): 有没有那种我我我是这样定义的，我不知道我定义对不对，那个郑书记帮我看一下，有一些表它是需要村里面每天都收集的，然后每周都整理的这种固定任务的，对吧，可能就。以备于上级的部门，他来抽查或者是来调查用的，这是一种表，对吧。第二种表就是临时性的，它可能基于某一个项目的需要，比如说这你刚刚提到的那种灾情上报，那它就比较临时性的临时的这种表。就是不知道这种咱们村里有没有去归类过这种任务有占分别占比是多少？大概会有多少的量，一年或者是每个月。

曾凡江(00:06:57): 每每天像这个日记一样上报的这种表还还现在目前不多，这种表没有，他现在目前就是线上马上发一个，比如说。226年的这个储备项目对吧，这一个字他就会马上发，马上就要他们很多，基本上他们下发给我们制表的时间大概就是最多就是半天。

maixiao(肖迈)(00:07:19): 半天就要收集上来是吧？我要马上就。

曾凡江(00:07:25): 半天就是设计上，而且很多表它是非常特别是脱贫，脱贫攻坚这一块的表，就最麻烦的是这一块表，你说你们村外出务工有多少人，其实很简单，这样一个表名字很简单。

maixiao(肖迈)(00:07:44): 对。

曾凡江(00:07:40): 但是我们下面做起来，如果要把这个表做做来，有质量高质量的话，我就应该让我们的组长每家每户的去统计这个数字才和标准，所以所以很多的表我认为它是一种。

maixiao(肖迈)(00:07:52): 对。

曾凡江(00:07:54): 没什么用处的，比如说你外出务工多少人，那我现在给统计900人980人这样我今天统计九百九百七十人，那明天他两个回来了。那不是有这个表的数据就变了吗？而且让上面的基层去统计这个工作量就太大了，基本上就是说在在车上做表的人，他就是对全身的。全身的基本情况相对了解，然后连一个概述这个类似的上去就完成了。所以所以我觉得他们这我们每年呢用的这个在表格上，这个纸这个纸张的非常多。

maixiao(肖迈)(00:08:19): 好像差不多。唉，那我那我再聊一下，就是比如说哈他，他向你要的是一个人数，就是一个统计数据，那你们就是可能就报一个统计数据上去，对吧？这种就是可能是不是，是不是由村里面，比如说比较熟悉村里的情况的两位成员直接报一个数字。就不会再需要去一户一户的调研了。有一个。

曾凡江(00:08:52): 他如果他的表就看他的表格，如果表格上面写了一个。详细务工地址？这这一栏那就就不好报了。

maixiao(肖迈)(00:09:00): 一个一个那就要一个一个问了是吧？

曾凡江(00:09:03): 对，就一个个的，所以我们基层现在负担大就大在了这些这些工作上面。

maixiao(肖迈)(00:09:06): 那我想再问一下，就是有多少表是你们需要一户一户去问，或者是要小组长他们一个一个去问的就有多少表一年。

曾凡江(00:09:20): 应该说大部分的标准的，如果说。真真正正的要把这工作干好的话，大部分的表都通过这个流程去做的。

maixiao(肖迈)(00:09:29): 大大部分大概是多少呢？

曾凡江(00:09:31): 你你我们就是80%的，应该说这个表在我们在这里是是需要去做的，比如说你今年。你们种了多少水稻，多少玉米，这这这这样的表，然后上面你问了以后你登记上去以后他会发一点什么种子。

maixiao(肖迈)(00:09:43): 出两次。我们。

曾凡江(00:09:54): 类似的东西发了，他会返回来每一户的去抽查，如果你这个数据不对，那就说明你下面出了问题，那我们就肯定要要逐步的走访。

maixiao(肖迈)(00:10:00): 一户一户的去问，那这种入户的一户一户问的你们是怎么分工，因为比如说咱们村比较大的话，那那如果只有一个人会去。去做这个事？是不是很耗时呢？你们是怎么分分工的？

曾凡江(00:10:22): 我们基本上是通过小组长。小组长摸排？

maixiao(肖迈)(00:10:25): 咱们分有几个多少多少小组长？

曾凡江(00:10:29): 我们一个组就一个小组长，也也就是说我们我们村是分了六个小组，那就六个小组长，基本上是有六个小组长去，因为小组长他本来就住在那个小组里面。

maixiao(肖迈)(00:10:35): 六个。

曾凡江(00:10:44): 他对本组的这个基本情况他还是相对了解的，有的话他就在家里就就可以填上来了，填上，然后我们村委进行核实，抽查核一下。这样完善这些表？

maixiao(肖迈)(00:10:59): 那就是说你们接到了，比如说接到了这个上级的任务之后，就可能是微信群告诉小组长要去收集什么什么信息是吗？然后小组长呢，就根据他自己的情况，要么他自己去问这个每户，要么他可能有了解的信息就直接先填上来了，也是通过微信填给你们是吧？

曾凡江(00:11:08): 对对对。小组长他们没办法用微信小小组长年纪比较大，就我们打打那个空表，把空表上去，如果我们有基础信息的，我们就把基础信息填好。

maixiao(肖迈)(00:11:21): 不是。就是。那那一般什么情况给你们怎么样给你们？填就手填是吧？

曾凡江(00:11:36): 手填交上来，因为小组长年纪都比较大，现在选择小组长。

maixiao(肖迈)(00:11:38): 是呢。唉，那基本上每一个小组长要负责多少户会需要他？

曾凡江(00:11:46): 我们组呢分来有80多户，有130多户，最少的都是57户。

maixiao(肖迈)(00:11:53): 那那其实量还是比较大的，他们一般这种东西要多长时间来完成呢？

曾凡江(00:12:01): 要看这个表的这个要求，比如说他是哪一方面呢？有些表的话，他们一个星期都给我们交不上来，我们也非常头痛，上面在催我们。

maixiao(肖迈)(00:12:11): 他们还是想去找？

曾凡江(00:12:13): 如果说高质量的完成。比较慢。

maixiao(肖迈)(00:12:18): 会会有上级要的一直催你们吗？这种情况多吗？

曾凡江(00:12:21): 我们村现在什么都非常优秀，就是在软件这一块，就是领导要求我们交的这个表迟迟有点玩不玩不上去，这也是我们村目前的那个痛点。

maixiao(肖迈)(00:12:29): 他体质上加减。就因为收集收集的工作量很大对吧？

曾凡江(00:12:42): 因为我们要求这个，我对下面他们的要求就是每完成一个表还是要高质量的，也不是说乱报的，所以我我们做的很细，在我们整个乡镇的评比当中，我们在这个软件资料上。确实还是欠缺的。

maixiao(肖迈)(00:12:54): 这这个也是客观情况，因为咱们小组的年纪大确实比较难使用，唉，那那那我问一下，就是刚刚提到的是你们会打打印出来，上级管理部门要求填写的那个表给到小组长去收集对吧？那这里还有没有？

曾凡江(00:13:05): 对对对。

maixiao(肖迈)(00:13:16): 其他的那个收集方式，比如说他不一定是收表的，他可能是不是有有没有存在收收照片什么之类的这些需求。

曾凡江(00:13:26): 有。很多要收照片的要亲自到到农夫家拍了照片传上来。

maixiao(肖迈)(00:13:29): 那这种怎么给你，你小组长收集了怎么给你们呢？

曾凡江(00:13:39): 他通过微信发给我们，这是一个，但是。涉及到这种收照片的大部分我们都是派村委去完成的，基本上小组长跟我们完成的少。

maixiao(肖迈)(00:13:48): 也就是如果是要拍照的这种就是可能梁伟自己去，然后填数据的那种，就小组长来来来协助。

曾凡江(00:13:57): 对对对对对！

maixiao(肖迈)(00:13:59): ok ok 那在这个手表这边，你刚刚提到也也也是要花比较长时间的吧，那你觉得最困难的问题是什么？就是在收集信息这一块。

曾凡江(00:14:12): 收收集信息！

maixiao(肖迈)(00:14:13): 对。

曾凡江(00:14:16): 我困难其其实很很多，但是比如我，我就举一个例子，比如说我们上个礼拜给我们发了一千一千一百多个图。

maixiao(肖迈)(00:14:16): 就。哇**。

曾凡江(00:14:29): 就是卫星照的这个图片，每一块地每块地它是否是耕地，是否硬化，就大山上面就整个全村的这个范围里面，这里一小块那个小块要让我们去把图号。这个这地的图单号投办现状四方拍照，然后把他的现状登记在一个表格表格里面，你说我们每一个图班，一个图班的话，走走一个图班就走到地里面去，平均大概是要花就算五分钟。

maixiao(肖迈)(00:14:46): 小30直接买到了？

曾凡江(00:15:03): 五分钟你还走不到那个地里面，你全身的这个地盘有的在山顶上1000多什么要花很多很多的精力的，像这种这种表的话，我们是非常吃力的。

maixiao(肖迈)(00:15:11): 那这个岂不是我要花很长时间？

曾凡江(00:15:19): 对，我们就村社干部就是。没日没夜的早上。45点钟就干，干到晚上看不到亮才回来，这样干。

maixiao(肖迈)(00:15:20): 第二。唉，那那这个这个事情你们是怎么记录呢？比如说你们去到了那个那块田里面，然后核查完了用什么来记录？

曾凡江(00:15:38): 他要求用那个相机叫有一种相机是拍了是就是我我我我经纬度的对，因为经纬度的相机照了这个照片，然后把表格做好以后把这个照片插到这个表格里面。

maixiao(肖迈)(00:15:45): 有经纬度的那个叫什么来着？什么来着。也就是说你们每一个村委，然后去到去到地里面，然后拍照，拍完照之后就回来再再再再整理对吧？

曾凡江(00:16:02): 对。对，在电脑旁边整理，这个是一个，第二个就是我刚才讲的那个组长给我们交的这个手写稿，我们又要全部电脑上录成电子版。

maixiao(肖迈)(00:16:16): 就是也是两位去去去去处理了。

曾凡江(00:16:20): 都是两位去处理的，其他人他弄不了。

maixiao(肖迈)(00:16:25): 好的，唉，那我刚刚应该有遗漏，一个就是上级管理部门，你你就以你自己的经验，这么多年做书记的经验，这个上级管理部门它下发下来的各种表也好，或者任务也好，一年大概有多少？几百张了。

曾凡江(00:16:43): 一年。一年你360天计算的话要填的表的话。四五百是有的。

maixiao(肖迈)(00:16:52): 600这么多吗？

曾凡江(00:16:55): 有有有的时候一天的话你要填无，不是一个表。上交。

maixiao(肖迈)(00:16:58): 会效果好。那那还是蛮超出我们预期的<笑声>唉！

曾凡江(00:17:04): 真的很多，我的这个桌面上是堆满的表格，我跟你讲真的。

maixiao(肖迈)(00:17:08): 都是纸纸质的吗？

曾凡江(00:17:12): 他们很多要求纸质的要盖章，盖章的话就要求纸质，而且有的一个表的话是几十几十页那个表。

maixiao(肖迈)(00:17:22): 29。

曾凡江(00:17:23): 非常大，有的只有的表格我看 a3都没办法打。还有还有这样的表？

maixiao(肖迈)(00:17:28): 这样子，唉，那那那那这些表你你觉得就是对咱们村里面来讲，它是有价值的，就是他他们收集的这些数据。

曾凡江(00:17:32): 哈哈。有有有没有价值？

maixiao(肖迈)(00:17:44): 对。

曾凡江(00:17:46): 我觉得价值不大。

maixiao(肖迈)(00:17:48): 价值不大。是因为都是临时性的，就比如说他可能就收集今年的，然后明年可能又收集其他的。

曾凡江(00:17:49): 价值不大你。今天说了明天又重新来，可能就有的时候说人家他们可能还认为我这个人不讲规矩，你比如说那个脱贫算账这些东西，每一个月要去跟那老百姓算一次账。他的收入它还有一个公式的，种了多少蔬菜，多少钱一斤，卖了多少钱？他呢？就比如说种的玉米，玉米卖了多少钱又养猪，养猪，这个猪卖多少钱？

maixiao(肖迈)(00:18:13): 为什么。You know. 

曾凡江(00:18:24): 反正要算到他的误工多少钱，误工，政府补贴他多少钱，他种的庄稼多少钱，这这些每个月都算。每个月算，如果是算来低于他的收入，那还不行呢，比如说他，他只能上升了，现在这个收入只能比如说你今年是一万块钱，人均一万，明年必须是1万1。

maixiao(肖迈)(00:18:47): 就没赚到也得必须上升，这表上天天线。

曾凡江(00:18:48): 那我们。对，必须上升，那因为必须老百姓要认可，你说这这个工作做的，比如说我自己的账，我自己家里的账其实我都算不清楚，你说我一天到晚开支多少，收入多少，开支多少那么细的账，其实自己家里的很多人都算不清楚，还不要说帮别人算，每一个人是包了几家。

maixiao(肖迈)(00:18:54): 这不是虚假数？

maixiao(肖迈)(00:19:08): 那那好的，那确实工作量挺大的，唉，那我那我可能再重复问一个问题，就是刚刚有提到，有些表是每个月都要统计的，就是你们每个月都要统计的，这种表大概会有多少？

曾凡江(00:19:13): 哈。

曾凡江(00:19:27): 每个月都统计了，我看看每个月统计的表，每个月的统计的表示在哪些，比如说我们的。

曾凡江(00:19:38): 务工变更台账就是就是外出人员，务工他每个月更新，然后需要公示的需要公示的内容，比如说你们的低保人员死亡。

maixiao(肖迈)(00:19:45): 这是一个。人口情况这个是每个月都要更新的表以及上报的表是吧？

曾凡江(00:19:55): 新生儿。这这这些要每个月上报的。对对对，这这些就相对，就是每个月要更新的。

maixiao(肖迈)(00:20:07): 这种这种大概会有会有20张吗？

曾凡江(00:20:09): 每个月更新的就是相同的表20张可能差不多。

maixiao(肖迈)(00:20:17): 不，我就说我就累，我就说是有没有20累，比如说新生算一个新生算一个死亡算一个这样子，那这是一个每个月的，然后其实刚刚还有提到很多是临时性的，那那就不说了哈，那可能都一两百个是吧？

曾凡江(00:20:21): 二次内。20类是有的了。对，我都说不清楚，他们是上午说马上就要报的，我们今天今天我都报了34个。

maixiao(肖迈)(00:20:45): <笑声>那那还有一种是有没有那种每天的每天的有吗？这种我不知道，因为其他地方会提到，比如说他有那种森林防火巡查，那种是每天都要巡查的，那下面的网格员或者专门负责人员就每天都要。

曾凡江(00:20:52): 每天的。

maixiao(肖迈)(00:21:02): 更新这个表这种有没有？

曾凡江(00:21:04): 就这个有有吗？但是我们都是，比如说我们的值班记录，你每天值班那个东西，我是打了一个表，然后除了一个那个大的空白。

maixiao(肖迈)(00:21:09): 对。这种是要浏览的吗？还是说就就就就就是记一下？

曾凡江(00:21:16): 然后的值班人员手洗。接下来，然后把纸质的留档备查吧！

maixiao(肖迈)(00:21:28): 就是那每天都要记的这种。我我也称之为表吧，有有多少？

曾凡江(00:21:36): 这种的话你比如说值班表。真的不是很多，每天记得现在不是很多。

maixiao(肖迈)(00:21:39): 一般去哪。不是很多是吧？

曾凡江(00:21:46): 不是很多。

maixiao(肖迈)(00:21:47): 好的好的，那那可能反正那个郑书记可能想起来了，比如说每天要记得每个月要记得或者是这种表，你你到时候也发我们。

曾凡江(00:21:58): 可以可以，还有一个就是刚才你讲了，也就是说跟我们这个姐姐夫这个，比如说他们手洗搞上来。我们能否就是通过一个扫描方式或者怎么样，它就是自动？就到表里面，或者说这种这种分类进表。

maixiao(肖迈)(00:22:16): 这这这个就是我们未来要研究的一个方向，对，所以其实刚刚我们都在聊你们怎么收收收信息，对吧，对不对，就是怎么样收集信息，那其实第二部分很大的一部分其实就是你收上来的。

曾凡江(00:22:20): 哈哈。

maixiao(肖迈)(00:22:32): 这些信息怎么填到那个表格里面来，因为你们现在收信息就比如说就就去到这个田里，对吧，拍个照或者是那个小组长把你们收集好，你们都要整理成这个表格，所以我们现在就要聊一下，就是你们现在是怎么整理那个。

maixiao(肖迈)(00:22:50): 表格的。

曾凡江(00:22:52): 如果他是通过微信打字正规的这个流程能做的，我相信这样形成一个表可能难度不大。如果是手写稿呢，可能难度有点大，因为大家写的字。

maixiao(肖迈)(00:23:00): 那你们发到微信里面是他们就是按表格发呢？还是说他们就打个字出来？

曾凡江(00:23:09): 打个字有的就打个字，有的就是说两个语音年纪大了就这样。

maixiao(肖迈)(00:23:13): 那那就两委成员需要把他们打的字或者语音转成表格，需要填的内容自己填到表格里去是吧？这是一种一种方式，第二种就是你刚刚提到那个手写，对吧？那就手写怎么转到电脑上，这是两种方式是吧？

曾凡江(00:23:21): 对对对。对，如果手写的让他们把字稍微写这个规范一点，规范你，然后写的时候呢，用那个 a4纸就是。简单分类简单分类了以后呢，我们就比如说像扫描一样识别一下，然后就进表格，进表格以后稍微有有那个，比如说文字有有有有错别什么东西的稍稍作修改。我觉得这样的话也是给我们减轻了很多东西。

maixiao(肖迈)(00:23:57): 唉，那那刚刚提到就是咱们收收的那些信息，有些肯定是已经有的，比如村里面已经有户籍档案的信息，或者是之前可能整理过的信息，你们存不存在说这个，唉，这张表的信息可能在另外。

曾凡江(00:24:08): 有的。

maixiao(肖迈)(00:24:14): 什么表里面已经有了，然后可能需要不同的表去核对那个信息的情况。或者是复制粘贴的情况？

曾凡江(00:24:22): 这个复制粘贴或者对比筛选从这里面出来，这个这个是有的，如果不这样做的话，更更搞不完了。

maixiao(肖迈)(00:24:28): 更搞不完是吧？那你们现在你们现在一般拿来做这种筛选或者对比的表是什么表呢？

曾凡江(00:24:40): 但基本上他们要的表呢，无非就是户主信息附属信息的话，我们基本上就是从比对里面出来，我筛选分数里面出来，就是无非在后面的填的不一样。

maixiao(肖迈)(00:24:45): 比对里面出来，就你们，你们有一个那那那那是你们的户籍，就11你们的户籍表里边的信息有有多全呢，就是比如说哈有。这个村民的小组。所在小组对吧，然后姓名，手机号，身份证号除了这些还会有什么？

曾凡江(00:25:10): 一般呢，就是身份证号，然后电话。电话，然后这个副组成员信息这些基本上还是有的。

maixiao(肖迈)(00:25:15): 基本是有的是吧？那就。

曾凡江(00:25:21): 现在我都用那个穿山子里面。到处那个那个里面？信息比较准。

maixiao(肖迈)(00:25:28): 用用传之类的是吧？比较准，手机号码肯定是准的。

曾凡江(00:25:30): 因为我把我把我们全村的那个基本基础基础信息我都把它录入了泰山，这里面很多东西如果急要的话，我就都从里面倒倒出来，然后弄的。

maixiao(肖迈)(00:25:37): 那好的好的，那这种咱们两委在就是在整理的表格的过程当中，还有哪些你觉得是比较困难的呢？

曾凡江(00:25:41): 你这个其实都跟我解析了很多东西。哈哈。困难的。我觉得因为我们村委现在你找的人呢他？说是大学文凭，其实很多是初中的，然后修的大学生，这个这个是它的，就是文化功底和和这个电脑基础呢是从零开始到我们身上学的，这个是有的。比如说对于表层的这个汇总，什么加减乘除这这些，他们有，有一部分人他是搞不清楚的。是搞不清楚的，比如说你，我觉得这个表的话呢，现在村上就是怎么说呢，慢慢的一个个的敲，就是最基本的这种，这种做还做得了，要做快一点，比如说这个表格很多，那个快捷键做快一点。来来做的话，很多村干部还达不到这个水平呢。

maixiao(肖迈)(00:26:51): 那存不存在？

曾凡江(00:26:52): 你比如说加减乘除，那就简单的，我就举个例子，加减乘除汇总还有两个表格，两个基本的相似的表格，然后把它把它里面的汇总筛选汇总出来，然后把它生成另外一个表格。这些很多是干不了的，只能一个个的粘贴复制一个个粘贴复制的。

maixiao(肖迈)(00:27:13): 那那那这种，比如说因为你上级管理部门它下发下来的文件应该比如说111个是 excel 这种格式，对吧，就表格格式。还有一种，它可能就在 word 里填写的这两种填写，对你们来讲困难有差异吗？

曾凡江(00:27:34): 有差异，比如说我们习惯性的做这种普通的表格的话，如果在那个偶尔偶尔那那里面填的话，非常难的，做起来不好做。

maixiao(肖迈)(00:27:44): 就是。word 里面填很难是吧？这表多吗？word 的表？

曾凡江(00:27:48): 对。一般呢，他们发下来我们搞不定我就把它转了。我把它转成表格转成 EL。

maixiao(肖迈)(00:27:55): 转成表格吗？这样上上级管理部门也是可以接受的吗？

曾凡江(00:28:03): 我就接受，我们就这个水平，我没办法，我只有这个好做，你说。

maixiao(肖迈)(00:28:06): 唉，那个曾曾曾书记就是首先这个 word 表下发的多吗？就这么多，表里它占比占多少？

曾凡江(00:28:17): 其实的话，可能据我了解，从从这个政府单位下下来，正式表格可能都是都是这个叫要偶尔的，然后在我们村上运用的大部分都是。这个啥叫什么 excel 对？基本上是这样的。

maixiao(肖迈)(00:28:32): 就大部分从上面发下来就是 word，然后让你们来填，然后你们呢就把它转成 excel 方便填，然后完了之后就把 excel 交上去。

曾凡江(00:28:38): 对对对。呵呵。基本上是这样的。因为村长你知道的，这就是包括我们也是初中生，就是最基本的电脑知识也是这样学的，你那那个上面慢慢的做，其实还是做得了的，但这个做起来我觉得比如说统计干什么，他没那么好用，我也我也不知道怎么回事，因为习惯这个吧，我们都是跟他转转过来做的。

maixiao(肖迈)(00:29:05): 我转过来也也难度不小。

曾凡江(00:29:09): 长长得甜长得甜，我觉得好甜一点。

maixiao(肖迈)(00:29:13): 就这个提交的时候也是给电子版的是吧？

曾凡江(00:29:15): 他是急的，先交电子版，然后随后要把指着档，然后盖好章送送交到政府上去。

maixiao(肖迈)(00:29:20): 就是。那那就是是。

曾凡江(00:29:30): 很多单位他扫描扫描件他都不认可你的。

maixiao(肖迈)(00:29:33): 就是所有所有上级管理部门的表都是这个要求吗？

曾凡江(00:29:37): 大部分呢。现在。基本上是让我们的指导的上去的。

maixiao(肖迈)(00:29:38): 大部分是。你们纸质档就是打印出来，然后盖个章，然后交给镇里是吧？唉，那就是在做表这件事情上11般来讲，一个村委，咱们就以那个中等难度的表来讲，他们大概要花多长时间去整理，因为。

曾凡江(00:29:46): 对对对。

maixiao(肖迈)(00:30:03): 收收完信息之后，整理出这样的表格大概需要多久？多久？

曾凡江(00:30:09): 我刚才讲了，就是这个表，要看这个表，他的要求的。

maixiao(肖迈)(00:30:13): 复杂度是吧？

曾凡江(00:30:14): 对他他的难度，他要的信息的这个量。

maixiao(肖迈)(00:30:18): ok 那会不会存在？比如说11个表可能多几个同事一起完成的情况，这种情况多吗？

曾凡江(00:30:26): 有有呢，他是就是就就刚才我举了你那个农户算账表，他是每个干部去算了回来。

maixiao(肖迈)(00:30:28): 有是吧。

曾凡江(00:30:36): 做了电子版？下面要一个人汇总。

maixiao(肖迈)(00:30:39): 就是交给上。

曾凡江(00:30:42): 他汇总的时候可能也是复制粘贴上去吧，应该也是这样弄的吧？

maixiao(肖迈)(00:30:46): 那交给上面的人是那个汇总表吗？就交给上面部门的是汇总表是吧？

曾凡江(00:30:52): 交跟上面的汇总表。

maixiao(肖迈)(00:30:54): ok 那存不存在，就是比如说你们提上去的表格被被被打回来<笑声>重做这种题。

曾凡江(00:31:03): 打回来重做的有，但是他不是表做的不好，是里面的内容没做好，文字性内容没做好。

maixiao(肖迈)(00:31:07): 不对。那就是信息不准确，会被打回来对吧，或者。

曾凡江(00:31:17): 对对对，信息不准确，它主要是这这些东西，比如说就是我讲的它必须要上升的东西，你你做了百分比上不到。打回重做。

maixiao(肖迈)(00:31:23): 了解了解那个郑书记，我，我想详细再了解一下，从头到尾这这个这个过程，首先呢，上级部门是通过什么方式把表发给你们的这个要求邮件。

曾凡江(00:31:43): 微信。

maixiao(肖迈)(00:31:44): 微信就是从微信上可能发一个一套一套资料，这个有点像红头文件那样子是吧？吼，然后。

曾凡江(00:31:51): 对，有的是，有的是一个表，有的是一个资料清单。

maixiao(肖迈)(00:31:55): 资料清单就是从微信发给你们是吧？然后这个表就是刚才了解到发的这些基本上这些表大部分是 word 格式吗？

曾凡江(00:31:59): 对。有些呢，他乡镇，乡镇上都还给我们转给我们转化了。也帮我们转转过了就是 excel。

maixiao(肖迈)(00:32:16): 转成 excel 的，然后这个 word 的比例能就是大概在多少，就比如说50%都是这样还是70都是 word。

曾凡江(00:32:31): 转到我们村上的就可能20%左右了。

maixiao(肖迈)(00:32:30): 20%就是 word 可能是20%。

曾凡江(00:32:37): 因为我为什么刚才刚才这样这样讲，这个上面发下来是全部这样，因为从我们乡镇转下来的是也是，但是我很多我是跟县级部门直接对接的这种文件形式的东西哈。发给我的基本上都。都都是这个。word 对。

maixiao(肖迈)(00:32:47): 是镇镇上给的都是 excel 表，然后线这边给的都是 word。

曾凡江(00:33:03): 我我我我觉得应该是这样的，因为我我还专门开了会员转转转化表格的那个会员。

maixiao(肖迈)(00:32:59): 是吗。跟不上心事。我我我为此还开了个会员，我我我还说你这么厉害，自己转我，我说那自己转挺难的，原来是开了会员。

曾凡江(00:33:13): 你不开会。对，他就是就是通过会员转自己转，怎么转得了转转出来不行。

maixiao(肖迈)(00:33:19): 那那你开的是哪个地方的会员？

曾凡江(00:33:28): 比如说这个金山 PDF 转 word 类似的东西的吗？

maixiao(肖迈)(00:33:23): 是的。他们给的其实还有些格式是 PDF 其实是不可编辑的那个文档，那那这个 PDF 大概有多少？

曾凡江(00:33:38): 对。对对对。不多不多这些，因为我呢自己为什么转这些东西呢？我在外面由于培训学习很多那个会议 PPT 什么东西我就会拿来我自己研究转。

maixiao(肖迈)(00:33:41): 不多。就是你。

曾凡江(00:33:56): 自己的有心还是我自己找的事干？

maixiao(肖迈)(00:33:54): 懂懂了<笑声>就是少量少量是 PDF 然后如果是线下面给线那里给的就是 word 为主，然后大概占到20%是吧？

曾凡江(00:34:01): 哈哈哈。差不多。

maixiao(肖迈)(00:34:08): 然后剩下的可能70%左右是 excel。

曾凡江(00:34:13): 对对对，如果表格的话，一个也是它，它有很多种类型，这个我们教的资料的话，有有表格的，有文字的，有些东西是直接需要写文字的东西呢？

